name_dv,name_en,org_code,court_code
ހއ. ތުރާކުނު މެޖިސްޓްރޭޓު ކޯޓު,HA. Thuraakunu Magistrate Court,A1C,A1C
ހއ. އުލިގަމު މެޖިސްޓްރޭޓު ކޯޓު,HA. Uligamu Magistrate Court,A2C,A2C
ހއ. މޮޅަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Molhadhoo Magistrate Court,A5C,A5C
ހއ. ހޯރަފުށީ މެޖިސްޓްރޭޓު ކޯޓު,HA. Hoarafushi Magistrate Court,A6C,A6C
ހއ. އިހަވަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Ihavandhoo Magistrate Court,A7C,A7C
ހއ. ކެލާ މެޖިސްޓްރޭޓު ކޯޓު,HA. Kelaa Magistrate Court,A8C,A8C
ހއ. ވަށަފަރު މެޖިސްޓްރޭޓު ކޯޓު,HA. Vashafaru Magistrate Court,A9C,A9C
ހއ. ދިއްދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Dhidhdhoo Magistrate Court,A10C,A10C
ހއ. ފިއްލަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Filladhoo Magistrate Court,A11C,A11C
ހއ. މާރަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Maarandhoo Magistrate Court,A12C,A12C
ހއ. ތަކަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Thakandhoo Magistrate Court,A13C,A13C
ހއ. އުތީމު މެޖިސްޓްރޭޓު ކޯޓު,HA. Utheemu Magistrate Court,A14C,A14C
ހއ. މުރައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Muraidhoo Magistrate Court,A15C,A15C
ހއ. ބާރަށު މެޖިސްޓްރޭޓު ކޯޓު,HA. Baarah Magistrate Court,A16C,A16C
ހދ. ހަނިމާދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Hanimaadhoo Magistrate Court,B3C,B3C
ހދ. ފިނޭ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Finey Magistrate Court,B4C,B4C
ހދ. ނައިވާދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Naivaadhoo Magistrate Court,B5C,B5C
ހދ. ނެއްލައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Nellaidhoo Magistrate Court,B8C,B8C
ހދ. ހިރިމަރަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Hirimaradhoo Magistrate Court,B6C,B6C
ހދ. ނޮޅިވަރަންފަރު މެޖިސްޓްރޭޓު ކޯޓު,HDh. Nolhivaranfaru Magistrate Court,B7C,B7C
ހދ. ނޮޅިވަރަމު މެޖިސްޓްރޭޓު ކޯޓު,HDh. Nolhivaramu Magistrate Court,B9C,B9C
ހދ. ކުރިނބީ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Kuribi Magistrate Court,B10C,B10C
ހދ. ކުޅުދުއްފުށީ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Kulhudhuffushi Magistrate Court,B12C,B12C
ހދ. ކުމުންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Kumundhoo Magistrate Court,B13C,B13C
ހދ. ނޭކުރެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Neykurendhoo Magistrate Court,B14C,B14C
ހދ. ވައިކަރަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Vaikaradhoo Magistrate Court,B15C,B15C
ހދ. މަކުނުދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Makunudhoo Magistrate Court,B17C,B17C
ށ. ނޫމަރާ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Noomaraa Magistrate Court,C2C,C2C
ށ. ކަނޑިތީމު މެޖިސްޓްރޭޓު ކޯޓު,Sh. Kanditheemu Magistrate Court,C1C,C1C
ށ. ގޮއިދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Goidhoo Magistrate Court,C3C,C3C
ށ. ފޭދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Feydhoo Magistrate Court,C4C,C4C
ށ. ފީވަކު މެޖިސްޓްރޭޓު ކޯޓު,Sh. Feevah Magistrate Court,C5C,C5C
ށ. ބިލެތްފަހި މެޖިސްޓްރޭޓު ކޯޓު,Sh. Bilehffahi Magistrate Court,C6C,C6C
ށ. ފޯކައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Foakaidhoo Magistrate Court,C7C,C7C
ށ. ނަރުދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Narudhoo Magistrate Court,C8C,C8C
ށ. މިލަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Milandhoo Magistrate Court,C16C,C16C
ށ. މަރޮށި މެޖިސްޓްރޭޓު ކޯޓު,Sh. Maroshi Magistrate Court,C10C,C10C
ށ. ޅައިމަގު މެޖިސްޓްރޭޓު ކޯޓު,Sh. Lhaimagu Magistrate Court,C11C,C11C
ށ. ފުނަދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Funadhoo Magistrate Court,C15C,C15C
ށ. ކޮމަންޑޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Komandoo Magistrate Court,C13C,C13C
ށ. މާއުނގޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Maaugoodhoo Magistrate Court,C14C,C14C
ނ. ހެނބަދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Henbadhoo Magistrate Court,D2C,D2C
ނ. ކެނދިކުޅުދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Kendhikulhudhoo Magistrate Court,D3C,D3C
ނ. ވެލިދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Velidhoo Magistrate Court,D15C,D15C
ނ. މާޅެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Maalhendhoo Magistrate Court,D5C,D5C
ނ. ކުޑަފަރީ މެޖިސްޓްރޭޓު ކޯޓު,N. Kudafari Magistrate Court,D6C,D6C
ނ. ލަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Landhoo Magistrate Court,D7C,D7C
ނ. މާފަރު މެޖިސްޓްރޭޓު ކޯޓު,N. Maafaru Magistrate Court,D8C,D8C
ނ. ޅޮހީ މެޖިސްޓްރޭޓު ކޯޓު,N. Lhohi Magistrate Court,D9C,D9C
ނ. މިލަދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Miladhoo Magistrate Court,D10C,D10C
ނ. މަގޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Magoodhoo Magistrate Court,D11C,D11C
ނ. މަނަދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Manadhoo Magistrate Court,D12C,D12C
ނ. ހޮޅުދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Holhudhoo Magistrate Court,D13C,D13C
ނ. ފޮއްދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Fodhdhoo Magistrate Court,D14C,D14C
ރ. އަލިފުށީ މެޖިސްޓްރޭޓު ކޯޓު,R. Alifushi Magistrate Court,E1C,E1C
ރ. ވާދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Vaadhoo Magistrate Court,E2C,E2C
ރ. ރަސްގެތީމު މެޖިސްޓްރޭޓު ކޯޓު,R. Rasgetheemu Magistrate Court,E3C,E3C
ރ. އަނގޮޅިތީމު މެޖިސްޓްރޭޓު ކޯޓު,R. Angolhitheemu Magistrate Court,E4C,E4C
ރ. ހުޅުދުއްފާރު މެޖިސްޓްރޭޓު ކޯޓު,R. Hulhudhuffaaru Magistrate Court,E18C,E18C
ރ. އުނގޫފާރު މެޖިސްޓްރޭޓު ކޯޓު,R. Ugoofaaru Magistrate Court,E7C,E7C
ރ. ދުވާފަރު މެޖިސްޓްރޭޓު ކޯޓު,R. Dhuvaafaru Magistrate Court,E8C,E8C
ރ. މާކުރަތު މެޖިސްޓްރޭޓު ކޯޓު,R. Maakurathu Magistrate Court,E9C,E9C
ރ. ރަސްމާދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Rasmaadhoo Magistrate Court,E10C,E10C
ރ. އިންނަމާދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Innamaadhoo Magistrate Court,E11C,E11C
ރ. މަޑުއްވަރީ މެޖިސްޓްރޭޓު ކޯޓު,R. Maduvvari Magistrate Court,E12C,E12C
ރ. އިނގުރައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Inguraidhoo Magistrate Court,E13C,E13C
ރ. މީދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Meedhoo Magistrate Court,E16C,E16C
ރ. ފައިނު މެޖިސްޓްރޭޓު ކޯޓު,R. Fainu Magistrate Court,E14C,E14C
ރ. ކިނޮޅަހު މެޖިސްޓްރޭޓު ކޯޓު,R. Kinolhas Magistrate Court,E17C,E17C
ބ. ކުޑަރިކިލު މެޖިސްޓްރޭޓު ކޯޓު,B. Kudarikilu Magistrate Court,F1C,F1C
ބ. ކަމަދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Kamadhoo Magistrate Court,F2C,F2C
ބ. ކެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Kendhoo Magistrate Court,F3C,F3C
ބ. ކިހާދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Kihaadhoo Magistrate Court,F6C,F6C
ބ. ދޮންފަނު މެޖިސްޓްރޭޓު ކޯޓު,B. Dhonfanu Magistrate Court,F7C,F7C
ބ. ދަރަވަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Dharavandhoo Magistrate Court,F8C,F8C
ބ. މާޅޮހު މެޖިސްޓްރޭޓު ކޯޓު,B. Maalhos Magistrate Court,F9C,F9C
ބ. އޭދަފުށީ މެޖިސްޓްރޭޓު ކޯޓު,B. Eydhafushi Magistrate Court,F10C,F10C
ބ. ތުޅާދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Thulhaadhoo Magistrate Court,F12C,F12C
ބ. ހިތާދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Hithaadhoo Magistrate Court,F13C,F13C
ބ. ފުޅަދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Fulhadhoo Magistrate Court,F14C,F14C
ބ. ފެހެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Fehendhoo Magistrate Court,F15C,F15C
ބ. ގޮއިދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Goidhoo Magistrate Court,F16C,F16C
ޅ. ހިންނަވަރު މެޖިސްޓްރޭޓު ކޯޓު,Lh. Hinnavaru Magistrate Court,G1C,G1C
ޅ. ނައިފަރު މެޖިސްޓްރޭޓު ކޯޓު,Lh. Naifaru Magistrate Court,G2C,G2C
ޅ. ކުރެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,Lh. Kurendhoo Magistrate Court,G3C,G3C
ޅ. އޮޅުވެލިފުށީ މެޖިސްޓްރޭޓު ކޯޓު,Lh. Olhuvelifushi Magistrate Court,G4C,G4C
ކ. ކާށިދޫ މެޖިސްޓްރޭޓު ކޯޓު,K. Kaashidhoo Magistrate Court,H1C,H1C
ކ. ގާފަރު މެޖިސްޓްރޭޓު ކޯޓު,K. Gaafaru Magistrate Court,H2C,H2C
ކ. ދިއްފުށީ މެޖިސްޓްރޭޓު ކޯޓު,K. Dhiffushi Magistrate Court,H3C,H3C
ކ. ތުލުސްދޫ މެޖިސްޓްރޭޓު ކޯޓު,K. Thulusdhoo Magistrate Court,H4C,H4C
ކ. ހުރާ މެޖިސްޓްރޭޓު ކޯޓު,K. Huraa Magistrate Court,H5C,H5C
ކ. ހިންމަފުށީ މެޖިސްޓްރޭޓު ކޯޓު,K. Himmafushi Magistrate Court,H6C,H6C
ކ. މާފުށީ މެޖިސްޓްރޭޓު ކޯޓު,K. Maafushi Magistrate Court,H12C,H12C
ކ. ގުޅީ މެޖިސްޓްރޭޓު ކޯޓު,K. Gulhi Magistrate Court,H11C,H11C
ކ. ގުރައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,K. Guraidhoo Magistrate Court,H13C,H13C
އއ. ތޮއްޑޫ މެޖިސްޓްރޭޓު ކޯޓު,AA. Thoddoo Magistrate Court,U1C,U1C
އއ. ރަސްދޫ މެޖިސްޓްރޭޓު ކޯޓު,AA. Rasdhoo Magistrate Court,U2C,U2C
އއ. އުކުޅަހު މެޖިސްޓްރޭޓު ކޯޓު,AA. Ukulhas Magistrate Court,U4C,U4C
އއ. ބޮޑުފޮޅުދޫ މެޖިސްޓްރޭޓު ކޯޓު,AA. Bodufolhudhoo Magistrate Court,U6C,U6C
އއ. މަތިވެރީ މެޖިސްޓްރޭޓު ކޯޓު,AA. Mathiveri Magistrate Court,U5C,U5C
އއ. ފެރިދޫ މެޖިސްޓްރޭޓު ކޯޓު,AA. Feridhoo Magistrate Court,U7C,U7C
އއ. މާޅޮހު މެޖިސްޓްރޭޓު ކޯޓު,AA. Maalhos Magistrate Court,U8C,U8C
އއ. ހިމަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,AA. Himandhoo Magistrate Court,U9C,U9C
އދ. ހަންޏާމީދޫ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Hangnaameedhoo Magistrate Court,I1C,I1C
އދ. އޮމަދޫ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Omadhoo Magistrate Court,I2C,I2C
އދ. މަހިބަދޫ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Mahibadhoo Magistrate Court,I4C,I4C
އދ. ކުނބުރުދޫ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Kunburudhoo Magistrate Court,I3C,I3C
އދ. ދަނގެތި މެޖިސްޓްރޭޓު ކޯޓު,ADh. Dhangethi Magistrate Court,I6C,I6C
އދ. ދިގުރަށު މެޖިސްޓްރޭޓު ކޯޓު,ADh. Dhigurah Magistrate Court,I7C,I7C
އދ. ދިއްދޫ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Dhidhdhoo Magistrate Court,I9C,I9C
އދ. މާމިގިލީ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Maamigili Magistrate Court,I10C,I10C
އދ. ފެންފުށީ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Fenfushi Magistrate Court,I8C,I8C
އދ. މަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,ADh. Mandhoo Magistrate Court,I5C,I5C
ވ. ފުލިދޫ މެޖިސްޓްރޭޓު ކޯޓު,V. Fulidhoo Magistrate Court,J1C,J1C
ވ. ތިނަދޫ މެޖިސްޓްރޭޓު ކޯޓު,V. Thinadhoo Magistrate Court,J2C,J2C
ވ. ފެލިދޫ މެޖިސްޓްރޭޓު ކޯޓު,V. Felidhoo Magistrate Court,J3C,J3C
ވ. ކެޔޮދޫ މެޖިސްޓްރޭޓު ކޯޓު,V. Keyodhoo Magistrate Court,J4C,J4C
ވ. ރަކީދޫ މެޖިސްޓްރޭޓު ކޯޓު,V. Rakeedhoo Magistrate Court,J5C,J5C
މ. ދިއްގަރު މެޖިސްޓްރޭޓު ކޯޓު,M. Dhiggaru Magistrate Court,K8C,K8C
މ. މަޑުއްވަރީ މެޖިސްޓްރޭޓު ކޯޓު,M. Maduvvari Magistrate Court,K9C,K9C
މ. ރަތްމަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,M. Raimandhoo Magistrate Court,K1C,K1C
މ. ވޭވަށު މެޖިސްޓްރޭޓު ކޯޓު,M. Veyvah Magistrate Court,K3C,K3C
މ. މުލަކު މެޖިސްޓްރޭޓު ކޯޓު,M. Mulah Magistrate Court,K4C,K4C
މ. މުލީ މެޖިސްޓްރޭޓު ކޯޓު,M. Muli Magistrate Court,K5C,K5C
މ. ނާލާފުށީ މެޖިސްޓްރޭޓު ކޯޓު,M. Naalaafushi Magistrate Court,K6C,K6C
މ. ކޮޅުފުށީ މެޖިސްޓްރޭޓު ކޯޓު,M. Kolhufushi Magistrate Court,K7C,K7C
ފ. ފީއަލީ މެޖިސްޓްރޭޓު ކޯޓު,F. Feeali Magistrate Court,L1C,L1C
ފ. ބިލެތްދޫ މެޖިސްޓްރޭޓު ކޯޓު,F. Bileddhoo Magistrate Court,L3C,L3C
ފ. މަގޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,F. Magoodhoo Magistrate Court,L4C,L4C
ފ. ދަރަނބޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,F. Dharaboodhoo Magistrate Court,L5C,L5C
ފ. ނިލަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,F. Nilandhoo Magistrate Court,L6C,L6C
ދ. މީދޫ މެޖިސްޓްރޭޓު ކޯޓު,Dh. Meedhoo Magistrate Court,M1C,M1C
ދ. ބަނޑިދޫ މެޖިސްޓްރޭޓު ކޯޓު,Dh. Bandidhoo Magistrate Court,M2C,M2C
ދ. ރިނބުދޫ މެޖިސްޓްރޭޓު ކޯޓު,Dh. Rinbudhoo Magistrate Court,M3C,M3C
ދ. ހުޅުދެލީ މެޖިސްޓްރޭޓު ކޯޓު,Dh. Hulhudheli Magistrate Court,M4C,M4C
ދ. މާއެނބޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,Dh. Maaenboodhoo Magistrate Court,M7C,M7C
ދ. ކުޑަހުވަދޫ މެޖިސްޓްރޭޓު ކޯޓު,Dh. Kudahuvadhoo Magistrate Court,M8C,M8C
ތ. ބުރުނީ މެޖިސްޓްރޭޓު ކޯޓު,Th. Buruni Magistrate Court,N1C,N1C
ތ. ވިލުފުށީ މެޖިސްޓްރޭޓު ކޯޓު,Th. Vilufushi Magistrate Court,N2C,N2C
ތ. މަޑިފުށީ މެޖިސްޓްރޭޓު ކޯޓު,Th. Madifushi Magistrate Court,N3C,N3C
ތ. ދިޔަމިގިލީ މެޖިސްޓްރޭޓު ކޯޓު,Th. Dhiyamigili Magistrate Court,N4C,N4C
ތ. ގުރައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,Th. Guraidhoo Magistrate Court,N5C,N5C
ތ. ކަނޑޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,Th. Kandoodhoo Magistrate Court,N6C,N6C
ތ. ވަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,Th. Vandhoo Magistrate Court,N7C,N7C
ތ. ހިރިލަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,Th. Hirilandhoo Magistrate Court,N8C,N8C
ތ. ގާދިއްފުށީ މެޖިސްޓްރޭޓު ކޯޓު,Th. Gaadhiffushi Magistrate Court,N9C,N9C
ތ. ތިމަރަފުށީ މެޖިސްޓްރޭޓު ކޯޓު,Th. Thimarafushi Magistrate Court,N10C,N10C
ތ. ވޭމަންޑޫ މެޖިސްޓްރޭޓު ކޯޓު,Th. Veymandoo Magistrate Court,N11C,N11C
ތ. ކިނބިދޫ މެޖިސްޓްރޭޓު ކޯޓު,Th. Kinbidhoo Magistrate Court,N12C,N12C
ތ. އޮމަދޫ މެޖިސްޓްރޭޓު ކޯޓު,Th. Omadhoo Magistrate Court,N13C,N13C
ލ. އިސްދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Isdhoo Magistrate Court,O1C,O1C
ލ. ދަނބިދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Dhanbidhoo Magistrate Court,O2C,O2C
ލ. މާބައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Maabaidhoo Magistrate Court,O3C,O3C
ލ. މުންޑޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Mundoo Magistrate Court,O4C,O4C
ލ. ގަން މެޖިސްޓްރޭޓު ކޯޓު,L. Gan Magistrate Court,O6C,O6C
ލ. ކަލައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Kalaidhoo Magistrate Court,O13C,O13C
ލ. މާވައް މެޖިސްޓްރޭޓު ކޯޓު,L. Maavah Magistrate Court,O7C,O7C
ލ. ފޮނަދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Fonadhoo Magistrate Court,O8C,O8C
ލ. މާމެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Maamendhoo Magistrate Court,O10C,O10C
ލ. ހިތަދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Hithadhoo Magistrate Court,O11C,O11C
ލ. ކުނަހަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,L. Kunahandhoo Magistrate Court,O12C,O12C
ގއ. ކޮލަމާފުށި މެޖިސްޓްރޭޓު ކޯޓު,GA. Kolamaafushi Magistrate Court,P1C,P1C
ގއ. ވިލިނގިލި މެޖިސްޓްރޭޓު ކޯޓު,GA. Villingili Magistrate Court,P2C,P2C
ގއ. މާމެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,GA. Maamendhoo Magistrate Court,P3C,P3C
ގއ. ނިލަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,GA. Nilandhoo Magistrate Court,P4C,P4C
ގއ. ދާންދޫ މެޖިސްޓްރޭޓު ކޯޓު,GA. Dhaandhoo Magistrate Court,P5C,P5C
ގއ. ދެއްވަދޫ މެޖިސްޓްރޭޓު ކޯޓު,GA. Dhevvadhoo Magistrate Court,P6C,P6C
ގއ. ކޮނޑޭ މެޖިސްޓްރޭޓު ކޯޓު,GA. Kondey Magistrate Court,P7C,P7C
ގއ. ގެމަނަފުށި މެޖިސްޓްރޭޓު ކޯޓު,GA. Gemanafushi Magistrate Court,P9C,P9C
ގއ. ކަނޑުހުޅުދޫ މެޖިސްޓްރޭޓު ކޯޓު,GA. Kanduhulhudhoo Magistrate Court,P10C,P10C
ގދ. ތިނަދޫ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Thinadhoo Magistrate Court,Q10C,Q10C
ގދ. މަޑަވެލީ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Madaveli Magistrate Court,Q1C,Q1C
ގދ. ހޯނޑެއްދޫ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Hoadedhdhoo Magistrate Court,Q2C,Q2C
ގދ. ނަޑެއްލާ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Nadellaa Magistrate Court,Q3C,Q3C
ގދ. ގައްދޫ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Gadhdhoo Magistrate Court,Q4C,Q4C
ގދ. ރަތަފަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Rathafandhoo Magistrate Court,Q5C,Q5C
ގދ. ވާދޫ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Vaadhoo Magistrate Court,Q6C,Q6C
ގދ. ފިޔޯރީ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Fiyoari Magistrate Court,Q7C,Q7C
ގދ. ފަރެސްމާތޮޑާ މެޖިސްޓްރޭޓު ކޯޓު,GDh. Faresmaathoda Magistrate Court,Q8C,Q8C
ޏ. ފުވައްމުލަކު މެޖިސްޓްރޭޓު ކޯޓު,Gn. Fuvahmulah Magistrate Court,R1C,R1C
ސ. ހުޅުދޫ މެޖިސްޓްރޭޓު ކޯޓު,S. Hulhudhoo Magistrate Court,S6C,S6C
ސ. ހިތަދޫ މެޖިސްޓްރޭޓު ކޯޓު,S. Hithadhoo Magistrate Court,S2C,S2C
ސ. މަރަދޫ މެޖިސްޓްރޭޓު ކޯޓު,S. Maradhoo Magistrate Court,S3C,S3C
ސ. ފޭދޫ މެޖިސްޓްރޭޓު ކޯޓު,S. Feydhoo Magistrate Court,S4C,S4C
ސ. މީދޫ މެޖިސްޓްރޭޓު ކޯޓު,S. Meedhoo Magistrate Court,S1C,S1C
ސ. މަރަދޫފޭދޫ މެޖިސްޓްރޭޓު ކޯޓު,S. Maradhoofeydhoo Magistrate Court,S5C,S5C
ހުޅުމާލެ މެޖިސްޓްރޭޓު ކޯޓު,Hulhumalé Magistrate Court,HMC,HMC
ދިވެހިރާއްޖޭގެ ސުޕްރީމް ކޯޓު,Supreme Court of the Maldives,197,SC
ދިވެހިރާއްޖޭގެ ހައިކޯޓު,High Court of the Maldives,95,HC
ސިވިލް ކޯޓު,Civil Court,144,Cv-C
ކްރިމިނަލް ކޯޓު,Criminal Court,145,Cr-C
ފެމިލީ ކޯޓު,Family Court,146,Fm-C
ޖުވެނައިލް ކޯޓު,Juvenile Court,147,Jv-C
ޑްރަގް ކޯޓު,Drug Court,435,DC